,SD,SGG,NAME_AD,CODE,CODE_AD,YEAR,Y_R
383,서울특별시,송파구,거여2동,1124054,1171053200,2020,3.6088967
384,서울특별시,송파구,마천1동,1124055,1171054000,2020,3.9931579
385,서울특별시,송파구,마천2동,1124056,1171055000,2020,3.0784724
386,서울특별시,송파구,방이1동,1124057,1171056100,2020,4.873672
387,서울특별시,송파구,방이2동,1124058,1171056200,2020,2.0604532
388,서울특별시,송파구,오륜동,1124059,1171056600,2020,8.105443
389,서울특별시,송파구,오금동,1124060,1171057000,2020,3.593712
390,서울특별시,송파구,송파1동,1124061,1171058000,2020,2.5045743
391,서울특별시,송파구,송파2동,1124062,1171059000,2020,4.4966097
392,서울특별시,송파구,석촌동,1124063,1171060000,2020,2.6540105
393,서울특별시,송파구,삼전동,1124064,1171061000,2020,3.0804641
